0 d [0, 542]->3 #590 p=0.143938
0 c [0, 542]->2 #596 p=0.145401
0 j [0, 542]->1 #619 p=0.151012
0 i [0, 542]->4 #558 p=0.136131
0 b [0, 542]->8 #416 p=0.101488
0 h [0, 542]->5 #556 p=0.135643
0 g [0, 542]->7 #463 p=0.112954
0 a [0, 542]->18 #212 p=0.0517199
0 f [0, 542]->26 #78 p=0.019029
0 e [0, 542]->-1 #11 p=0.00268358
1 d [0, 542]->6 #3086 p=0.821619
1 c [0, 542]->16 #670 p=0.178381
2 d [0, 542]->12 #2570 p=0.617195
2 j [0, 542]->1 #1527 p=0.366715
2 i [0, 542]->-1 #16 p=0.00384246
2 h [0, 5]->-1 #13 p=0.003122
2 h [6, 542]->24 #38 p=0.00912584
3 c [0, 542]->2 #298 p=0.485342
3 j [0, 542]->11 #75 p=0.12215
3 h [0, 542]->15 #231 p=0.376221
3 g [0, 542]->-1 #8 p=0.0130293
3 f [0, 542]->-1 #2 p=0.00325733
4 c [0, 542]->9 #798 p=0.610092
4 b [0, 542]->-1 #8 p=0.00611621
4 h [0, 542]->10 #502 p=0.383792
5 d [0, 542]->-1 #5 p=0.00965251
5 c [0, 542]->28 #50 p=0.0965251
5 i [0, 542]->4 #398 p=0.76834
5 b [0, 542]->23 #65 p=0.125483
6 c [0, 542]->2 #1524 p=0.457109
6 j [0, 542]->11 #1275 p=0.382424
6 h [0, 542]->15 #535 p=0.160468
7 i [0, 542]->13 #424 p=0.602273
7 b [0, 542]->17 #272 p=0.386364
7 a [0, 542]->-1 #8 p=0.0113636
8 i [0, 542]->14 #140 p=0.26616
8 h [0, 542]->-1 #8 p=0.0152091
8 g [0, 542]->7 #298 p=0.56654
8 a [0, 542]->18 #80 p=0.152091
9 d [0, 542]->12 #509 p=0.383861
9 j [0, 542]->1 #462 p=0.348416
9 i [0, 542]->30 #38 p=0.0286576
9 h [0, 4]->15 #125 p=0.0942685
9 h [5, 542]->24 #192 p=0.144796
10 d [0, 542]->-1 #1 p=0.000672948
10 c [0, 542]->28 #83 p=0.0558546
10 i [0, 542]->14 #1152 p=0.775236
10 b [0, 542]->23 #250 p=0.168237
11 d [0, 542]->6 #584 p=0.445802
11 c [0, 542]->16 #726 p=0.554198
12 c [0, 542]->2 #2162 p=0.684827
12 j [0, 542]->-1 #3 p=0.000950269
12 h [0, 542]->15 #992 p=0.314222
13 c [0, 542]->20 #222 p=0.45679
13 b [0, 542]->23 #92 p=0.1893
13 h [0, 22]->32 #46 p=0.0946502
13 h [23, 542]->10 #126 p=0.259259
14 c [0, 11]->29 #82 p=0.0503686
14 c [12, 542]->9 #531 p=0.326167
14 b [0, 542]->-1 #14 p=0.00859951
14 h [0, 542]->10 #996 p=0.611794
14 g [0, 542]->-1 #5 p=0.00307125
15 d [0, 542]->31 #61 p=0.030273
15 c [0, 2]->9 #144 p=0.071464
15 c [3, 542]->19 #759 p=0.376675
15 i [0, 37]->4 #357 p=0.177171
15 i [38, 542]->14 #388 p=0.192556
15 b [0, 542]->8 #306 p=0.151861
16 d [0, 542]->12 #51 p=0.0395963
16 j [0, 542]->1 #1237 p=0.960404
17 i [0, 542]->27 #57 p=0.113772
17 h [0, 542]->-1 #1 p=0.00199601
17 g [0, 542]->21 #386 p=0.770459
17 a [0, 542]->18 #57 p=0.113772
18 b [0, 542]->-1 #2 p=0.00806452
18 g [0, 542]->22 #221 p=0.891129
18 f [0, 542]->34 #25 p=0.100806
19 d [0, 25]->31 #51 p=0.0614458
19 d [26, 542]->12 #198 p=0.238554
19 j [0, 542]->1 #86 p=0.103614
19 i [0, 4]->25 #140 p=0.168675
19 i [5, 542]->30 #67 p=0.0807229
19 h [0, 542]->15 #288 p=0.346988
20 d [0, 24]->3 #56 p=0.145455
20 d [25, 542]->12 #88 p=0.228571
20 j [0, 542]->1 #202 p=0.524675
20 i [0, 542]->-1 #5 p=0.012987
20 h [0, 542]->24 #34 p=0.0883117
21 i [0, 542]->13 #140 p=0.325581
21 b [0, 542]->17 #290 p=0.674419
22 i [0, 542]->4 #62 p=0.382716
22 b [0, 542]->17 #60 p=0.37037
22 a [0, 542]->18 #40 p=0.246914
23 i [0, 542]->27 #163 p=0.537954
23 h [0, 542]->-1 #15 p=0.049505
23 g [0, 542]->21 #95 p=0.313531
23 a [0, 542]->3 #30 p=0.0990099
24 d [0, 542]->31 #59 p=0.194719
24 c [0, 542]->19 #156 p=0.514851
24 i [0, 542]->14 #72 p=0.237624
24 b [0, 542]->-1 #16 p=0.0528053
25 d [0, 542]->-1 #4 p=0.017094
25 c [0, 6]->29 #81 p=0.346154
25 c [7, 542]->20 #126 p=0.538462
25 i [0, 542]->-1 #5 p=0.0213675
25 b [0, 542]->-1 #9 p=0.0384615
25 h [0, 542]->-1 #9 p=0.0384615
26 g [0, 542]->-1 #1 p=0.0263158
26 a [0, 542]->18 #37 p=0.973684
27 c [0, 542]->9 #31 p=0.163158
27 b [0, 542]->28 #40 p=0.210526
27 h [0, 542]->10 #118 p=0.621053
27 g [0, 542]->-1 #1 p=0.00526316
28 d [0, 542]->-1 #11 p=0.0714286
28 j [0, 542]->-1 #7 p=0.0454545
28 i [0, 542]->25 #88 p=0.571429
28 h [0, 542]->15 #42 p=0.272727
28 g [0, 542]->-1 #5 p=0.0324675
28 a [0, 542]->-1 #1 p=0.00649351
29 d [0, 542]->33 #34 p=0.232877
29 j [0, 542]->-1 #16 p=0.109589
29 i [0, 542]->-1 #9 p=0.0616438
29 h [0, 542]->24 #87 p=0.59589
30 c [0, 542]->20 #101 p=1
31 c [0, 542]->-1 #7 p=0.0426829
31 h [0, 542]->15 #157 p=0.957317
32 i [0, 542]->14 #20 p=0.526316
32 b [0, 542]->-1 #18 p=0.473684
33 c [0, 542]->-1 #11 p=0.333333
33 h [0, 542]->25 #22 p=0.666667
34 a [0, 542]->-1 #3 p=0.75
34 e [0, 542]->-1 #1 p=0.25
